GID	LLGTH	NBL	TIL	DEPTH	LENGTH	NR_30	SBM	RB0020	RB2030	RB3050	RB	DRB	DRP	PB	R_S	CONE_AA	CONE_MS	CONE_P	CONE
55	71.75	7.63	4.15	25.75	25.94	1.55	0.8457	0.0842	0.0048	0.002	0.0909	0.0067	2.93	0.937	0.1054	40.65	48.67	43.82	44.94
56	86.91	8.53	11.05	60.01	57.5	32.08	2.7713	0.1927	0.0709	0.0508	0.3144	0.1218	49.7	3.0819	0.1125	26.32	33.54	31.73	30.4
57	48.44	6.9	3.49	23.23	22.81	-0.93	0.5416	0.0368	0.0094	-0.0015	0.0458	0.009	11.36	0.5878	0.101	14.16	38.42	19.69	23.83
58	80.56	8.25	14.4	48.99	51	19.71	1.9994	0.1751	0.0213	0.0072	0.2035	0.0284	17.44	2.2031	0.1064	32.1	37.79	25.99	31.62
59	76.72	7.96	10.34	42.56	43.61	15	1.8763	0.1947	0.0278	0.0051	0.2275	0.0328	15.37	2.104	0.1222	29.36	42.18	29.21	34.06
60	76.53	7.15	11.47	41.48	42.82	16.4	2.4669	0.2127	0.0332	0.0126	0.2584	0.0457	15.82	2.7256	0.1097	56.14	56.86	49.85	54.84
62	80.78	7.53	10.22	43.82	50.95	22.32	2.5879	0.2556	0.0521	0.0261	0.334	0.0783	21.43	2.9222	0.1276	48.07	55.63	56.24	53.39
63	74.44	7.41	7.89	37	43.03	8.39	1.2585	0.138	0.0124	0.0035	0.1538	0.0158	9.51	1.4127	0.13	26.32	25.17	33.59	28.93
65	87.58	7.81	10.21	37.53	39.44	11.21	2.6314	0.2207	0.0331	0.0049	0.2587	0.038	13.17	2.8907	0.1072	51.65	73.18	50.16	58.24
66	84.64	7.86	9.27	40.36	41.53	11.72	2.1601	0.1578	0.0321	0.0099	0.1984	0.0407	18.22	2.3589	0.101	32.97	35.21	31.04	32.99
67	52.79	6.7	1.88	29.43	33.45	0.62	0.2993	0.0488	-0.0032	-0.0031	0.0425	-0.0063	4.05	0.3421	0.1407	49.76	47.75	48.57	48.61
70	75.4	8.11	6.13	31.18	30.3	1.34	1.2498	0.1515	0.0148	-0.0024	0.164	0.0124	9.42	1.4142	0.131	61.09	82.91	55.4	66.38
71	67.55	7.28	5.86	28.8	30.39	4.91	1.4078	0.1282	0.0079	-0.0015	0.1347	0.0065	4.95	1.5429	0.1002	36.58	42.1	33.28	37.22
72	82.4	7.85	8.14	37.27	39	10.31	1.8788	0.1951	0.0284	0.0088	0.2324	0.0373	14.44	2.1116	0.1205	29.23	36.81	35.96	33.85
73	83.8	7.58	6.34	37.01	41.78	8.16	1.4322	0.1586	0.0141	-0.0008	0.1719	0.0133	12.25	1.6043	0.1234	58.35	63.61	41.66	54.44
75	85.45	8.21	16.61	40.19	42.19	11.26	2.7784	0.2205	0.035	0.0069	0.2623	0.0419	14.85	3.0412	0.0933	21.29	57.67	23.8	34.76
76	58.87	5.5	0.96	30.63	33.79	1.9	0.0702	0.0086	-0.0014	-0.0023	0.0049	-0.0037	5.16	0.0752	0.1058	62.17	82.38	65.8	69.79
77	95.3	8.43	9.41	40.32	40.63	8.02	2.6454	0.2582	0.0209	0.0032	0.2824	0.0242	8.1	2.9279	0.1061	14.66	21.18	13.77	16.42
79	89.83	9.06	14.34	44.4	43.53	21.57	3.4332	0.2912	0.0397	0.0109	0.3417	0.0505	12.6	3.7753	0.0978	36.08	51.39	47.79	45.01
83	76.1	5.75	6.47	44.96	48.56	15.11	1.3349	0.1443	0.0387	0.021	0.2027	0.0585	22.21	1.538	0.1576	45.58	57.07	46.38	49.82
87	56.37	7.6	5.19	20.13	21.51	2.64	0.8628	0.0982	0.0048	0.0045	0.1076	0.0094	-0.09	0.9707	0.1147	76.16	80.96	66.89	75.17
89	68.54	8.81	20.95	30.97	33.77	4.01	2.7941	0.2911	0.0106	0.0027	0.3044	0.0133	3.71	3.0989	0.102	25.86	49.07	38.33	38.25
93	62.72	8.39	11.74	38.87	41.77	15.77	2.5685	0.3523	0.0326	0.0103	0.3954	0.0431	9.32	2.9642	0.1502	40.71	48.14	40.89	43.08
94	69.4	8.18	12.25	31.59	33.37	8.3	1.9815	0.2276	0.0143	0.0021	0.2439	0.0163	6.51	2.2216	0.1206	35.74	44.41	46.88	42.22
95	74.1	8.08	7.64	31.17	32.52	6.43	2.3274	0.2501	0.0131	0.001	0.2642	0.0141	3.95	2.5917	0.1183	28.22	43.38	28.53	33.23
98	80.31	7.86	4.22	29.36	30.55	5.7	1.6143	0.1882	0.0089	0.0006	0.1977	0.0095	4.09	1.8121	0.1279	69.34	67.27	54.68	63.82
101	62.88	8.08	17.03	25.96	25.01	1.56	2.0503	0.1819	0.0042	0.0026	0.1887	0.0068	0.67	2.2354	0.0884	34.43	41.72	31.39	35.75
103	72.71	7.56	12.4	37.62	39.53	16.86	2.6546	0.2887	0.0263	0.0061	0.3211	0.0324	7.67	2.9761	0.1222	44.15	48.66	44.1	45.89
106	75.7	7.52	8.9	27.13	27.5	2.07	2.0536	0.2038	0.0053	0.0007	0.2097	0.0059	1.97	2.2636	0.1043	17.04	32	26.91	25.25
107	76.49	8.15	13.27	31.9	35.78	10.49	3.0302	0.2695	0.0211	0.0051	0.2958	0.0263	6.32	3.3264	0.0932	26.11	40.49	31.86	32.91
108	87.68	7.92	9.42	47.68	49.2	24.58	2.3857	0.2546	0.0469	0.016	0.3175	0.0629	20.74	2.7033	0.1671	12.84	19.93	13.89	15.44
109	62.46	6.96	1.43	34.69	37.17	4.93	0.6526	0.059	0.0147	0.0017	0.0754	0.0164	16.92	0.7281	0.1228	17.46	32.97	18.53	23.04
110	82.46	7.23	6.31	50.17	51.18	19.1	1.5684	0.1581	0.0371	0.0197	0.215	0.0568	25.15	1.7837	0.1382	33.96	45.7	29.86	37.01
111	89.29	6.52	9.3	42.56	45	19.94	3.0646	0.3199	0.0469	0.0198	0.3854	0.0655	13.4	3.4503	0.1261	54.69	50.23	53.36	53.08
112	82.33	7.38	7.04	30.57	31.16	7.17	1.5557	0.1783	0.0092	-0.002	0.1857	0.0073	6.35	1.7415	0.1198	22.96	29.36	23.18	25.04
113	102.85	7.29	7.7	33	33.71	8.79	1.8689	0.1853	0.0074	-0.0037	0.1891	0.0038	5.79	2.0581	0.1014	22.79	35.64	22.3	26.79
114	73.9	7.53	5.72	33.77	34.64	6.23	1.3863	0.1507	0.015	0.0042	0.17	0.0193	5.62	1.5527	0.1052	32.88	42.58	38.84	38.18
115	84.58	8.43	10.45	37.46	38.99	8.68	2.3731	0.1839	0.0141	0.0005	0.1985	0.0146	10	2.5719	0.0869	25.72	37.43	33.1	32
116	85.5	8	6.32	41.25	41.78	13.81	1.9105	0.2365	0.0362	0.0087	0.2814	0.0448	14.27	2.1923	0.1546	38.21	42.9	47.39	43.57
118	78.46	7.08	8.04	42.3	42.37	13.01	1.8751	0.1674	0.0171	0.0051	0.1896	0.0223	10.6	2.0649	0.1006	25.02	34.72	28.85	29.8
119	77.21	7.69	4.23	43.86	46.64	15.1	1.1016	0.1211	0.0265	0.0105	0.1581	0.037	19.76	1.2601	0.1448	41.74	42.8	40.24	41.67
120	87.28	7.79	9.44	42.89	45.92	16.85	2.5671	0.2856	0.0471	0.0164	0.3491	0.0636	17.37	2.9166	0.144	23.56	45.13	29.01	32.4
123	74.27	7.62	3.63	31.24	32.69	5.28	0.6365	0.0518	0.0056	0.0012	0.0586	0.0068	7.12	0.6952	0.1059	16.92	23.03	22.04	21.13
125	84.77	7.04	6.3	30.6	29.88	7.31	1.7012	0.1586	0.0147	0.0038	0.1783	0.0197	6.46	1.8799	0.1033	31.52	39.21	29.17	32.96
127	88.88	8	10.73	44.79	48.4	20.46	3.5221	0.3327	0.0466	0.0238	0.4031	0.0704	17.89	3.9256	0.1223	40.9	50.68	45.67	45.36
128	76.79	7.74	4.21	39.56	42.9	12.19	1.5743	0.1665	0.0352	0.0185	0.2202	0.0537	17	1.7948	0.1465	28.86	39.11	28.22	32.15
129	81.2	6.61	4.76	27.98	29.82	0.23	1.0452	0.1119	0.0063	0.001	0.1204	0.0085	4.43	1.166	0.1122	36.82	42.21	30.17	36.13
130	84.43	7.06	9.73	36.7	36.7	11.89	1.9498	0.1658	0.0193	0.0028	0.1867	0.0208	9.28	2.1368	0.1027	30.55	38.73	39.89	37.19
132	91.77	8.4	7.58	44.59	40.54	15.82	2.5289	0.2494	0.0479	0.0138	0.311	0.0616	18.86	2.8403	0.1234	34.95	48	42.71	41.81
133	88.27	7.47	8.78	32.85	32.19	8.06	2.2147	0.252	0.0116	-0.0034	0.2602	0.0082	4.57	2.4755	0.1193	35.92	43.73	29.29	36.21
135	77.37	8.19	6.24	38.12	39.87	11.27	1.5992	0.189	0.0124	0.002	0.2036	0.0146	6.79	1.8031	0.1265	69.39	75.73	58.3	67.64
136	90.34	8.05	8.81	36.97	37.81	14.56	2.1022	0.2111	0.0229	0.0042	0.2381	0.0271	9.77	2.3405	0.1126	36.61	45.88	33.68	38.62
137	65.61	7.98	12.16	32.43	33.54	8.32	2.0837	0.2186	0.005	-0.0016	0.222	0.0034	1.21	2.306	0.1101	60.04	52.87	49.81	54.17
138	94.39	8.49	10.71	34.34	38.12	7.55	3.1112	0.2525	0.0273	0.0028	0.2826	0.0301	9.26	3.3944	0.0911	24.07	35.81	31.66	31.01
139	80.39	8.1	9.46	38.82	40.93	12.81	1.686	0.1938	0.0169	0.003	0.2137	0.0199	8.92	1.8959	0.1366	19.87	35.57	29	27.81
140	76.51	7.8	7.57	30.69	30.69	3.7	1.7721	0.1872	0.0061	-0.0006	0.1927	0.0055	3.11	1.9651	0.1105	56.06	74.84	69.23	66.62
142	87.95	8.04	12.7	39	41.41	20.29	3.7685	0.3329	0.0393	0.0099	0.3822	0.0493	12.65	4.1509	0.1045	29.86	29.8	26.34	28.54
144	92.24	8	6.17	52.11	54.93	19.47	1.9106	0.2101	0.0305	0.0115	0.2519	0.0418	18.91	2.163	0.1346	27.79	34.33	30.78	30.65
